,Authors,Year,Title,pmid,url,Abstract,Identifier,Bayesian,Randomisation objective,Notes,acronym
0,"Chad J Swanson , Yong Zhang , Shobha Dhadda , Jinping Wang , June Kaplow , Robert Y K Lai , Lars Lannfelt , Heather Bradley , Martin Rabe , Akihiko Koyama , Larisa Reyderman , Donald A Berry , Scott Berry , Robert Gordon , Lynn D Kramer , Jeffrey L Cummings",2021 Apr 17;13(1):80.,"A randomized, double-blind, phase 2b proof-of-concept clinical trial in early Alzheimer's disease with lecanemab, an anti-A? protofibril antibody",33865446,https://pubmed.ncbi.nlm.nih.gov/33865446,"Abstract Background: Lecanemab (BAN2401), an IgG1 monoclonal antibody, preferentially targets soluble aggregated amyloid beta (A?), with activity across oligomers, protofibrils, and insoluble fibrils. BAN2401-G000-201, a randomized double-blind clinical trial, utilized a Bayesian design with response-adaptive randomization to assess 3 doses across 2 regimens of lecanemab versus placebo in early Alzheimer's disease, mild cognitive impairment due to Alzheimer's disease (AD) and mild AD dementia. Methods: BAN2401-G000-201 aimed to establish the effective dose 90% (ED90), defined as the simplest dose that achieves ?90% of the maximum treatment effect. The primary endpoint was Bayesian analysis of 12-month clinical change on the Alzheimer's Disease Composite Score (ADCOMS) for the ED90 dose, which required an 80% probability of ?25% clinical reduction in decline versus placebo. Key secondary endpoints included 18-month Bayesian and frequentist analyses of brain amyloid reduction using positron emission tomography; clinical decline on ADCOMS, Clinical Dementia Rating-Sum-of-Boxes (CDR-SB), and Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-Cog14); changes in CSF core biomarkers; and total hippocampal volume (HV) using volumetric magnetic resonance imaging. Results: A total of 854 randomized subjects were treated (lecanemab, 609; placebo, 245). At 12 months, the 10-mg/kg biweekly ED90 dose showed a 64% probability to be better than placebo by 25% on ADCOMS, which missed the 80% threshold for the primary outcome. At 18 months, 10-mg/kg biweekly lecanemab reduced brain amyloid (-0.306 SUVr units) while showing a drug-placebo difference in favor of active treatment by 27% and 30% on ADCOMS, 56% and 47% on ADAS-Cog14, and 33% and 26% on CDR-SB versus placebo according to Bayesian and frequentist analyses, respectively. CSF biomarkers were supportive of a treatment effect. Lecanemab was well-tolerated with 9.9% incidence of amyloid-related imaging abnormalities-edema/effusion at 10 mg/kg biweekly. Conclusions: BAN2401-G000-201 did not meet the 12-month primary endpoint. However, prespecified 18-month Bayesian and frequentist analyses demonstrated reduction in brain amyloid accompanied by a consistent reduction of clinical decline across several clinical and biomarker endpoints. A phase 3 study (Clarity AD) in early Alzheimer's disease is underway. Trial registration: Clinical Trials.gov NCT01767311 . Keywords: ADCOMS; Alzheimer’s disease; Amyloid; Amyloid PET; BAN2401; Biomarker; Clinical trial; Lecanemab; Neurofilament light; Neurogranin; p-tau.",NCT01767311,Y,Response-adaptive randomisation to implement dose allocation probabilities every 50 patients,Clinical trial,
1,"Lukas Pin , Sofía S Villar , Hakim-Moulay Dehbi",2024 Jul:142:107567.,Implementing and assessing Bayesian response-adaptive randomisation for backfilling in dose-finding trials,38729298,https://pubmed.ncbi.nlm.nih.gov/38729298,"Abstract Traditional approaches in dose-finding trials, such as the continual reassessment method, focus on identifying the maximum tolerated dose. In contemporary early-phase dose-finding trials, especially in oncology with targeted agents or immunotherapy, a more relevant aim is to identify the lowest dose level that maximises efficacy whilst remaining tolerable. Backfilling, defined as the practice of assigning patients to dose levels lower than the current highest tolerated dose, has been proposed to gather additional pharmacokinetic, pharmacodynamic and biomarker data to recommend the most appropriate dose to carry forward for subsequent studies. The first formal framework [5] for backfilling proposed randomising backfill patients with equal probability among those doses below the dose level where the study is currently at. Here, we propose to use Bayesian response-adaptive randomisation to backfill patients. This patient-oriented approach to backfilling aims to allocate more patients to dose levels in the backfill set with higher expected efficacy based on emerging data. The backfill set constitutes of the doses below the dose the dose-finding algorithm is at. At study completion, collective patient data inform the dose-response curve, suggesting an optimal dose level balancing toxicity and efficacy. Our simulation study across diverse clinical trial settings demonstrates that a backfilling strategy using Bayesian response-adaptive randomisation can result in a patient-oriented patient assignment procedure which simultaneously enhances the likelihood of correctly identifying the most appropriate dose level. This contribution offers a methodological framework and practical implementation for patient-oriented backfilling, encompassing design and analysis considerations in early-phase trials. Keywords: Backfill; Bayesian; Continual reassessment method; Dose-finding; Early phase clinical trials; Efficacy; Plateau; Response-adaptive randomisation.",,Y,Response-adaptive randomisation with bayesian methods to backfill patients. Allocate more patients to doses with higher expected efficacy. Backfilling assigns patients to dose levels lower than the current highest tolerated dose,Simulation,
2,"James M Chamberlain , Jaideep Kapur , Shlomo Shinnar , Jordan Elm , Maija Holsti , Lynn Babcock , Alex Rogers , William Barsan , James Cloyd , Daniel Lowenstein , Thomas P Bleck , Robin Conwit , Caitlyn Meinzer , Hannah Cock , Nathan B Fountain , Ellen Underwood , Jason T Connor , Robert Silbergleit ; Neurological Emergencies Treatment Trials; Pediatric Emergency Care Applied Research Network investigators",2020 Apr 11;395(10231):1217-1224.,"Efficacy of levetiracetam, fosphenytoin, and valproate for established status epilepticus by age group (ESETT): a double-blind, responsive-adaptive, randomised controlled trial",32203691,https://pubmed.ncbi.nlm.nih.gov/32203691,"Abstract Background: Benzodiazepine-refractory, or established, status epilepticus is thought to be of similar pathophysiology in children and adults, but differences in underlying aetiology and pharmacodynamics might differentially affect response to therapy. In the Established Status Epilepticus Treatment Trial (ESETT) we compared the efficacy and safety of levetiracetam, fosphenytoin, and valproate in established status epilepticus, and here we describe our results after extending enrolment in children to compare outcomes in three age groups. Methods: In this multicentre, double-blind, response-adaptive, randomised controlled trial, we recruited patients from 58 hospital emergency departments across the USA. Patients were eligible for inclusion if they were aged 2 years or older, had been treated for a generalised convulsive seizure of longer than 5 min duration with adequate doses of benzodiazepines, and continued to have persistent or recurrent convulsions in the emergency department for at least 5 min and no more than 30 min after the last dose of benzodiazepine. Patients were randomly assigned in a response-adaptive manner, using Bayesian methods and stratified by age group (<18 years, 18-65 years, and >65 years), to levetiracetam, fosphenytoin, or valproate. All patients, investigators, study staff, and pharmacists were masked to treatment allocation. The primary outcome was absence of clinically apparent seizures with improved consciousness and without additional antiseizure medication at 1 h from start of drug infusion. The primary safety outcome was life-threatening hypotension or cardiac arrhythmia. The efficacy and safety outcomes were analysed by intention to treat. This study is registered in ClinicalTrials.gov, NCT01960075. Findings: Between Nov 3, 2015, and Dec 29, 2018, we enrolled 478 patients and 462 unique patients were included: 225 children (aged <18 years), 186 adults (18-65 years), and 51 older adults (>65 years). 175 (38%) patients were randomly assigned to levetiracetam, 142 (31%) to fosphenyltoin, and 145 (31%) were to valproate. Baseline characteristics were balanced across treatments within age groups. The primary efficacy outcome was met in those treated with levetiracetam for 52% (95% credible interval 41-62) of children, 44% (33-55) of adults, and 37% (19-59) of older adults; with fosphenytoin in 49% (38-61) of children, 46% (34-59) of adults, and 35% (17-59) of older adults; and with valproate in 52% (41-63) of children, 46% (34-58) of adults, and 47% (25-70) of older adults. No differences were detected in efficacy or primary safety outcome by drug within each age group. With the exception of endotracheal intubation in children, secondary safety outcomes did not significantly differ by drug within each age group. Interpretation: Children, adults, and older adults with established status epilepticus respond similarly to levetiracetam, fosphenytoin, and valproate, with treatment success in approximately half of patients. Any of the three drugs can be considered as a potential first-choice, second-line drug for benzodiazepine-refractory status epilepticus. Funding: National Institute of Neurological Disorders and Stroke, National Institutes of Health.",NCT01960075,Y,"Reponse-adaptive randomisation. Equal allocation for first 300 (1:1:1), then allocation ratio was updated every 100 patients. Allocate patients to the treatment group most likely to be effective.",Clinical trial,ESETT
3,"Valentin Vinnat , Jean-Daniel Chiche , Alexandre Demoule , Sylvie Chevret",2023 Apr 14:33:101141.,Simulation study for evaluating an adaptive-randomisation Bayesian hybrid trial design with enrichment,37397429,https://pubmed.ncbi.nlm.nih.gov/37397429,"Abstract Background: As we enter the era of precision medicine, the role of adaptive designs, such as response-adaptive randomisation or enrichment designs in drug discovery and development, has become increasingly important to identify the treatment given to a patient based on one or more biomarkers. Tailoring the ventilation supply technique according to the responsiveness of patients to positive end-expiratory pressure is a suitable setting for such a design. Methods: In the setting of marker-strategy design, we propose a Bayesian response-adaptive randomisation with enrichment design based on group sequential analyses. This design combines the elements of enrichment design and response-adaptive randomisation. Concerning the enrichment strategy, Bayesian treatment-by-subset interaction measures were used to adaptively enrich the patients most likely to benefit from an experimental treatment while controlling the false-positive rate.The operating characteristics of the design were assessed by simulation and compared to those of alternate designs. Results: The results obtained allowed the detection of the superiority of one treatment over another and the presence of a treatment-by-subgroup interaction while keeping the false-positive rate at approximately 5\% and reducing the average number of included patients. In addition, simulation studies identified that the number of interim analyses and the burn-in period may have an impact on the performance of the scheme. Conclusion: The proposed design highlights important objectives of precision medicine, such as determining whether the experimental treatment is superior to another and identifying wheter such an efficacy could depend on patient profile. Keywords: Bayesian designs; Marker-based strategy designs; Precision medicine; Response-adaptive randomisation.",,Y,"Response-adaptive randomisation to minimise the expected number of treatment failures.Bayesian posterior mean estimates of failure rates plugged into allocation ratio. Non-information prior beta(1,1) to allow posterior to be dominated by data",Simulation,
4,"Robert G Maki , J Kyle Wathen, Shreyaskumar R Patel, Dennis A Priebat, Scott H Okuno, Brian Samuels, Michael Fanucchi, David C Harmon, Scott M Schuetze, Denise Reinke, Peter F Thall, Robert S Benjamin, Laurence H Baker, Martee L Hensley",2007 Jul 1;25(19):2755-63.,Randomized phase II study of gemcitabine and docetaxel compared with gemcitabine alone in patients with metastatic soft tissue sarcomas: results of sarcoma alliance for research through collaboration study 002 [corrected],17602081,https://pubmed.ncbi.nlm.nih.gov/17602081,"Abstract Purpose: Gemcitabine as a single agent and the combination of gemcitabine and docetaxel have activity in patients with metastatic soft tissue sarcoma. To determine if the addition of docetaxel to gemcitabine improved clinical outcome of patients with metastatic soft tissue sarcomas, we compared a fixed dose rate infusion of gemcitabine versus a lower dose of gemcitabine with docetaxel. Patients and methods: In this open-label phase II clinical trial, the primary end point was tumor response, defined as complete or partial response or stable disease lasting at least 24 weeks. A Bayesian adaptive randomization procedure was used to produce an imbalance in the randomization in favor of the superior treatment, accounting for treatment-subgroup interactions. Results: One hundred nineteen of 122 randomly assigned patients had assessable outcomes. The adaptive randomization assigned 73 patients (60%) to gemcitabine-docetaxel and 49 patients (40%) to gemcitabine alone, indicating gemcitabine-docetaxel was superior. The objective Response Evaluation Criteria in Solid Tumors response rates were 16% (gemcitabine-docetaxel) and 8% (gemcitabine). Given the data, the posterior probabilities that gemcitabine-docetaxel was superior for progression-free and overall survival were 0.98 and 0.97, respectively. Median progression-free survival was 6.2 months for gemcitabine-docetaxel and 3.0 months for gemcitabine alone; median overall survival was 17.9 months for gemcitabine-docetaxel and 11.5 months for gemcitabine. The posterior probability that patients receiving gemcitabine-docetaxel had a shorter time to discontinuation for toxicity compared with gemcitabine alone was .999. Conclusion: Gemcitabine-docetaxel yielded superior progression-free and overall survival to gemcitabine alone, but with increased toxicity. Adaptive randomization is an effective method to reduce the number of patients receiving inferior therapy.",CTRI/2020/02/023612,Y,Reponse-adaptive randomisation to favour superior treatment arms and reduce number of patients receiving inferior therapy. Equal assignment of first 30 patients.,Clinical trial,
5,"Steffen Ventz , William T Barry , Giovanni Parmigiani , Lorenzo Trippa",2017 Sep;73(3):905-915.,Bayesian response-adaptive designs for basket trials,28211944,https://pubmed.ncbi.nlm.nih.gov/28211944,"Abstract We develop a general class of response-adaptive Bayesian designs using hierarchical models, and provide open source software to implement them. Our work is motivated by recent master protocols in oncology, where several treatments are investigated simultaneously in one or multiple disease types, and treatment efficacy is expected to vary across biomarker-defined subpopulations. Adaptive trials such as I-SPY-2 (Barker et al., 2009) and BATTLE (Zhou et al., 2008) are special cases within our framework. We discuss the application of our adaptive scheme to two distinct research goals. The first is to identify a biomarker subpopulation for which a therapy shows evidence of treatment efficacy, and to exclude other subpopulations for which such evidence does not exist. This leads to a subpopulation-finding design. The second is to identify, within biomarker-defined subpopulations, a set of cancer types for which an experimental therapy is superior to the standard-of-care. This goal leads to a subpopulation-stratified design. Using simulations constructed to faithfully represent ongoing cancer sequencing projects, we quantify the potential gains of our proposed designs relative to conventional non-adaptive designs. Keywords: Adaptive randomization; Bayesian hierarchical models; Master protocols; Ulti-arm clinical trials.",,Y,Response-adaptive randomisation to allocate patients to most effective treatments and uses vary levels of information from all subgroups and cancer types (strong borrowing and no borrowing.,Simulation,
6,"Rifaquat Rahman , Lorenzo Trippa , Eudocia Q Lee , Isabel Arrillaga-Romany , Geoffrey Fell , Mehdi Touat , Christine McCluskey , Jennifer Wiley , Sarah Gaffey , Jan Drappatz , Mary R Welch , Evanthia Galanis , Manmeet S Ahluwalia , Howard Colman , L Burt Nabors , Jaroslaw Hepel , Heinrich Elinzano , David Schiff , Ugonma N Chukwueke , Rameen Beroukhim , Lakshmi Nayak , J Ricardo McFaline-Figueroa , Tracy T Batchelor , Mikael L Rinne , Thomas J Kaley , Christine Lu-Emerson , Ingo K Mellinghoff , Wenya Linda Bi , Omar Arnaout , Pier Paolo Peruzzi , Daphne Haas-Kogan , Shyam Tanguturi , Daniel Cagney , Ayal Aizer , Lisa Doherty , Maria Lavallee , Brittany Fisher-Longden , Shanna Dowling , Jack Geduldig , Fiona Watkinson , William Pisano , Seth Malinowski , Shakti Ramkissoon , Sandro Santagata , David M Meredith , E Antonio Chiocca , David A Reardon , Brian M Alexander , Keith L Ligon , Patrick Y Wen",2023 Dec 20;41(36):5524-5535.,Inaugural Results of the Individualized Screening Trial of Innovative Glioblastoma Therapy: A Phase II Platform Trial for Newly Diagnosed Glioblastoma Using Bayesian Adaptive Randomization,37722087,https://pubmed.ncbi.nlm.nih.gov/37722087,"Abstract Purpose: The Individualized Screening Trial of Innovative Glioblastoma Therapy (INSIGhT) is a phase II platform trial that uses response adaptive randomization and genomic profiling to efficiently identify novel therapies for phase III testing. Three initial experimental arms (abemaciclib [a cyclin-dependent kinase [CDK]4/6 inhibitor], neratinib [an epidermal growth factor receptor [EGFR]/human epidermal growth factor receptor 2 inhibitor], and CC-115 [a deoxyribonucleic acid-dependent protein kinase/mammalian target of rapamycin inhibitor]) were simultaneously evaluated against a common control arm. We report the results for each arm and examine the feasibility and conduct of the adaptive platform design. Patients and methods: Patients with newly diagnosed O6-methylguanine-DNA methyltransferase-unmethylated glioblastoma were eligible if they had tumor genotyping to identify prespecified biomarker subpopulations of dominant glioblastoma signaling pathways (EGFR, phosphatidylinositol 3-kinase, and CDK). Initial random assignment was 1:1:1:1 between control (radiation therapy and temozolomide) and the experimental arms. Subsequent Bayesian adaptive randomization was incorporated on the basis of biomarker-specific progression-free survival (PFS) data. The primary end point was overall survival (OS), and one-sided P values are reported. The trial is registered with ClinicalTrials.gov (identifier: NCT02977780). Results: Two hundred thirty-seven patients were treated (71 control; 73 abemaciclib; 81 neratinib; 12 CC-115) in years 2017-2021. Abemaciclib and neratinib were well tolerated, but CC-115 was associated with ? grade 3 treatment-related toxicity in 58% of patients. PFS was significantly longer with abemaciclib (hazard ratio [HR], 0.72; 95% CI, 0.49 to 1.06; one-sided P = .046) and neratinib (HR, 0.72; 95% CI, 0.50 to 1.02; one-sided P = .033) relative to the control arm but there was no PFS benefit with CC-115 (one-sided P = .523). None of the experimental therapies demonstrated a significant OS benefit (P > .05). Conclusion: The INSIGhT design enabled efficient simultaneous testing of three experimental agents using a shared control arm and adaptive randomization. Two investigational arms had superior PFS compared with the control arm, but none demonstrated an OS benefit. The INSIGhT design may promote improved and more efficient therapeutic discovery in glioblastoma. New arms have been added to the trial.",NCT02977780,Y,Response-adaptive randomisation (Bayesian) to reduce number of pateints in potentially unpromising/toxic arms.,Clinical trial,INSIGhT
7,"Hongnan Mo , Yongpei Yu , Xiaoying Sun , Hewei Ge , Lanlan Yu , Xiuwen Guan , Jingtong Zhai , Aihua Zhu , Yuhan Wei , Jinjing Wang , Xiaoyan Yan , Haili Qian , Binghe Xu , Fei Ma",2024 Sep;30(9):2528-2539.,Metronomic chemotherapy plus anti-PD-1 in metastatic breast cancer: a Bayesian adaptive randomized phase 2 trial,38969879,https://pubmed.ncbi.nlm.nih.gov/38969879,"Abstract It remains unclear whether metronomic chemotherapy is superior to conventional chemotherapy when combined with immune checkpoint blockade. Here we performed a phase 2 clinical trial of metronomic chemotherapy combined with PD-1 blockade to compare the efficacy of combined conventional chemotherapy and PD-1 blockade using Bayesian adaptive randomization and efficacy monitoring. Eligible patients had metastatic HER2-negative breast cancer and had not received more than one prior line of standard chemotherapy. Patients (total n = 97) were randomized to receive (1) metronomic vinorelbine (NVB) monotherapy (n = 11), (2) NVB plus anti-PD-1 toripalimab (n = 7), (3) anti-angiogenic bevacizumab, NVB and toripalimab (n = 27), (4) conventional cisplatin, NVB and toripalimab (n = 26), or (5) metronomic cyclophosphamide, capecitabine, NVB and toripalimab (the VEX cohort) (n = 26). The primary endpoint was disease control rate (DCR). Secondary objectives included progression-free survival (PFS) and safety. The study met the primary endpoint. The VEX (69.7%) and cisplatin (73.7%) cohorts had the highest DCR. The median PFS of patients in the VEX cohort was the longest, reaching 6.6 months, followed by the bevacizumab (4.0 months) and cisplatin (3.5 months) cohorts. In general, the five regimens were well tolerated, with nausea and neutropenia being the most common adverse events. An exploratory mass cytometry analysis indicated that metronomic VEX chemotherapy reprograms the systemic immune response. Together, the clinical and translational data of this study indicate that metronomic VEX chemotherapy combined with PD-1 blockade can be a treatment option in patients with breast cancer. ClinicalTrials.gov Identifier: NCT04389073 .",NCT04389073,Y,"Response-adaptive randomisation (Bayesian). Primary efficacy endpoint was estimated for every 15 patients, randomisation probability was calculated with https://www.trialdesign.org/one-page-shell.html#BARPO to get posterior probability. Favoured treatment which achieved the primary efficacy endpoint.",Clinical trial,
8,"Alexandra R Brown , Byron J Gajewski , Dinesh Pal Mudaranthakam , Mamatha Pasnoor , Mazen M Dimachkie , Omar Jawdat , Laura Herbelin , Matthew S Mayo , Richard J Barohn",2023 Oct 14:36:101220.,Conducting a bayesian multi-armed trial with response adaptive randomization for comparative effectiveness of medications for CSPN,37965484,https://pubmed.ncbi.nlm.nih.gov/37965484,"Abstract Background: Response adaptive randomization is popular in adaptive trial designs, but the literature detailing its execution is lacking. These designs are desirable for patients/stakeholders, particularly in comparative effectiveness research, due to the potential benefits including improving participant buy-in by providing more participants with better treatment during the trial. Frequentist approaches have often been used, but adaptive designs naturally fit the Bayesian methodology; it was developed to deal with data as they come in by updating prior information. Methods: PAIN-CONTRoLS was a comparative-effectiveness trial utilizing Bayesian response adaptive randomization to four drugs, nortriptyline, duloxetine, pregabalin, or mexiline, for cryptogenic sensory polyneuropathy (CSPN) patients. The aim was to determine which treatment was most tolerable and effective in reducing pain. Quit and efficacy rates were combined into a utility function to develop a single outcome, which with treatment sample size, drove the adaptive randomization. Prespecified interim analyses allowed the study to stop for early success or update the randomization probabilities to the better-performing treatments. Results: Seven adaptations to the randomization occurred before the trial ended due to reaching the maximum sample size, with more participants receiving nortriptyline and duloxetine. At the end of the follow-up, nortriptyline and duloxetine had lower probabilities of participants that had stopped taking the study medication and higher probabilities were efficacious. Mexiletine had the highest quit rate, but had an efficacy rate higher than pregabalin. Conclusions: Response adaptive randomization has become a popular trial tool, especially for those utilizing Bayesian methods for analyses. By illustrating the execution of a Bayesian adaptive design, using the PAIN-CONTRoLS trial data, this paper continues the work to provide literature for conducting Bayesian response adaptive randomized trials. Keywords: Bayesian methods; Conducting adaptive design; Interim analyses; Outcome driven.",,Y,"Response-adaptive randomisation (Bayesian). Quit and efficacy rates were combined in a utility function with treatment sample size to drive adaptive randomisation. Goal to allocate more participants to better performing treatments. Using bayesian model to predict 12-week participant outcomes using 4,8 week follow up. Randomisation ratios depended on accumulating information in the trial and treatment sample size. Uniform priors",Clinical trial,PAIN-CONTRoLS
9,"M Moatti, S Chevret , S Zohar, W F Rosenberger",2016;55(1):4-13.,A Bayesian Hybrid Adaptive Randomisation Design for Clinical Trials with Survival Outcomes,26404511,https://pubmed.ncbi.nlm.nih.gov/26404511,"Abstract Background: Response-adaptive randomisation designs have been proposed to improve the efficiency of phase III randomised clinical trials and improve the outcomes of the clinical trial population. In the setting of failure time outcomes, Zhang and Rosenberger (2007) developed a response-adaptive randomisation approach that targets an optimal allocation, based on a fixed sample size. Objectives: The aim of this research is to propose a response-adaptive randomisation procedure for survival trials with an interim monitoring plan, based on the following optimal criterion: for fixed variance of the estimated log hazard ratio, what allocation minimizes the expected hazard of failure? We demonstrate the utility of the design by redesigning a clinical trial on multiple myeloma. Methods: To handle continuous monitoring of data, we propose a Bayesian response-adaptive randomisation procedure, where the log hazard ratio is the effect measure of interest. Combining the prior with the normal likelihood, the mean posterior estimate of the log hazard ratio allows derivation of the optimal target allocation. We perform a simulation study to assess and compare the performance of this proposed Bayesian hybrid adaptive design to those of fixed, sequential or adaptive - either frequentist or fully Bayesian - designs. Non informative normal priors of the log hazard ratio were used, as well as mixture of enthusiastic and skeptical priors. Stopping rules based on the posterior distribution of the log hazard ratio were computed. The method is then illustrated by redesigning a phase III randomised clinical trial of chemotherapy in patients with multiple myeloma, with mixture of normal priors elicited from experts. Results: As expected, there was a reduction in the proportion of observed deaths in the adaptive vs. non-adaptive designs; this reduction was maximized using a Bayes mixture prior, with no clear-cut improvement by using a fully Bayesian procedure. The use of stopping rules allows a slight decrease in the observed proportion of deaths under the alternate hypothesis compared with the adaptive designs with no stopping rules. Conclusions: Such Bayesian hybrid adaptive survival trials may be promising alternatives to traditional designs, reducing the duration of survival trials, as well as optimizing the ethical concerns for patients enrolled in the trial. Keywords: Adaptive design; Bayesian; censored data; optimal allocation; response-adaptive randomisation.",,Y,Response-adaptive randomisation for survival trials. Allocation for which minimizes the expected hazard of failure. Effect measure of interest is log hazard ratio. Mean posterior estimate of log HR allows for derivation of optimal target alocation. Non informative normal priors and mixture of enthusiastic/skeptical priors.,Simulation,
